id,rotulo,provincia,municipio,localidad,direccion,cp,lat,lon,horario,gasolina_95_e5,gasolina_98_e5,gasoleo_a,gasoleo_premium,glp
4375,Nº 10.935,Albacete,Abengibre,ABENGIBRE,"AVENIDA CASTILLA LA MANCHA, 26",02250,39.211417,-1.539167,L-D: 07:00-22:00,1.489,,1.549,,
5122,REPSOL,Albacete,Alatoz,ALATOZ,"CR CM-332, 46,4",02152,39.100389,-1.346083,L-D: 7:00-23:00,1.699,,1.799,1.989,
12054,BP ROMICA,Albacete,Albacete,ALBACETE,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",02001,39.054694,-1.832,L-D: 06:00-22:00,1.659,1.799,1.739,1.829,
10765,CARREFOUR,Albacete,Albacete,ALBACETE,"AVENIDA 1º DE MAYO, S/N",02001,38.985667,-1.8685,L-S: 08:00-22:00; D: 09:00-21:00,1.599,1.779,1.669,1.709,
13933,PLENERGY,Albacete,Albacete,ALBACETE,"CALLE FEDERICO GARCIA LORCA, 1",02001,39.000861,-1.849833,L-D: 24H,1.409,,1.459,,
16011,PLENERGY,Albacete,Albacete,ALBACETE,"CALLE CONSTANTINO ROMERO, S/N",02005,39.005528,-1.884444,L-D: 24H,1.449,,1.469,,
4369,PLENERGY,Albacete,Albacete,ALBACETE,"AVENIDA MENÉNDEZ PIDAL, 58",02005,39.003333,-1.864917,L-D: 24H,1.399,,1.449,,
14123,MOEVE,Albacete,Albacete,ALBACETE,"PASEO CUBA (LA), 36",02005,39.005083,-1.859917,L-D: 06:00-22:00,1.694,1.814,1.794,1.844,1.143
15000,A&A,Albacete,Albacete,ALBACETE,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",02005,39.006889,-1.885361,L-S: 09:00-21:30,1.459,,1.499,1.559,0.969
5195,REPSOL,Albacete,Albacete,ALBACETE,"CL PASEO DE LA CUBA, 15",02005,38.999722,-1.854556,L-D: 06:00-22:00,1.695,1.825,1.795,,1.109
5313,CEPSA,Albacete,Albacete,ALBACETE,"CALLE HERMANOS FALCÓ, 2",02002,38.98925,-1.849028,L-D: 06:30-22:30,1.669,1.809,1.779,1.839,
5191,REPSOL,Albacete,Albacete,ALBACETE,"PG CAMPOLLANO-P. 2-CT, S.N.",02006,39.012583,-1.874972,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,1.689,1.859,1.799,1.859,
5116,REPSOL,Albacete,Albacete,ALBACETE,"CR N-322, 337,8",02006,38.925833,-2.031861,L-S: 07:00-21:30,1.659,1.869,1.729,1.799,
4428,FAMILY ENERGY,Albacete,Albacete,ALBACETE,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",02006,38.988972,-1.847361,L-S: 07:00-23:00; D: 08:00-23:00,1.399,1.449,1.449,1.509,
4372,LA PULGOSA,Albacete,Albacete,ALBACETE,"CARRETERA M 3203 KM. 2,6",02006,38.963972,-1.875944,L-D: 06:00-22:00,1.593,,1.668,1.895,
4415,INPEALSA,Albacete,Albacete,ALBACETE,"AVDA. DE LOS TOREROS, S/N",02006,38.998222,-1.869889,L-D: 07:00-23:00,1.499,,1.559,1.599,
5222,REPSOL,Albacete,Albacete,ALBACETE,"CALLE CTRA. DE JAEN, 79",02006,38.988111,-1.883694,L-D: 06:00-23:00,1.689,1.849,1.779,,
5318,PETROCAMP,Albacete,Albacete,ALBACETE,"AVENIDA 1º DE MAYO, S/N",02006,38.985194,-1.866806,L-D: 07:00-23:00,1.509,,1.559,,
14377,P347,Albacete,Albacete,ALBACETE,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,02006,38.965639,-1.9355,L-S: 07:00-22:00,,,1.629,,
5289,REPSOL,Albacete,Albacete,ALBACETE,CARRETERA N-322 KM. 359,02006,39.033139,-1.845083,L-V: 07:00-21:00; S-D: 09:00-14:00,1.639,1.819,1.739,,
5245,REPSOL,Albacete,Albacete,ALBACETE,CARRETERA JAEN KM. 2,02006,38.994667,-1.871722,L-D: 24H,1.679,1.819,1.789,,
5208,REPSOL,Albacete,Albacete,ALBACETE,"CR N-301, 244",02006,39.027778,-1.892972,L-D: 24H,1.695,1.845,1.809,,
4416,INPEALSA,Albacete,Albacete,ALBACETE,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",02006,38.982167,-1.853306,L-D: 07:00-23:00,1.529,,1.619,,
5129,INPEALSA,Albacete,Albacete,ALBACETE,CARRETERA NACIONAL 301 KM. 256,02099,38.929389,-1.831639,L-D: 24H,1.559,,1.629,,
11048,CEPSA,Albacete,Albacete,ALBACETE,CARRETERA N-322 KM. 349,02004,38.970167,-1.919778,L-V: 07:30-21:30; S-D: 08:00-21:00,1.685,,1.805,1.925,
5272,REPSOL,Albacete,Albacete,SANTA ANA,"AVENIDA PRINCIPE, 2",02328,38.900944,-1.994028,L-D: 08:00-16:00,1.639,1.809,1.765,,
4394,LOZANO,Albacete,Albacete,SALOBRAL (EL),"CM. 3203 km 14,1",02140,38.867556,-1.9205,L-S: 07:00-14:00; D: 09:00-14:00,1.446,,1.442,1.999,
4790,"INLOCOR S.L. ""CEPSA""",Albacete,Albacete,ALBACETE,"CARRETERA C-M 332 KM. 2,6",02007,38.998111,-1.831611,L-D: 06:00-23:30,1.679,1.819,1.789,1.889,
15547,LA GAVIOTA GASOLINERA 24 HORA,Albacete,Albacete,ALBACETE,"CALLE AUTOVIA, SN",02007,39.029167,-1.888333,L-D: 24H,1.499,,1.559,,
13369,GMOIL,Albacete,Albacete,ALBACETE,"AVENIDA PRIMERA, S/N",02007,39.022139,-1.882056,L-D: 24H,1.399,,1.459,,
13930,VALERO 24H,Albacete,Albacete,ALBACETE,"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",02007,39.021583,-1.886556,L-D: 24H,1.569,,1.649,,
4417,INPEALSA,Albacete,Albacete,ALBACETE,"POLIGONO CAMPOLLANO AVENIDA 1, 0",02007,39.016389,-1.893944,L-V: 06:00-22:00; S: 06:00-14:00,1.539,,1.629,1.679,
9601,ALCAMPO,Albacete,Albacete,ALBACETE,"SECTOR PARCELA T-3 LOCAL52, 14",02007,39.009639,-1.878111,L-D: 24H,1.459,1.499,1.519,1.559,
11297,REPSOL Nº ESTACIÓN 97179,Albacete,Albacete,ALBACETE,"MADRID-CARTAGENA km 248,5",02007,38.971778,-1.845306,L-V: 06:00-22:00,1.689,1.859,1.789,1.899,
9546,"REPSOL. LOS ANGELES DE LA MANCHA, S.L.",Albacete,Albacete,ALBACETE,"MADRID-CARTAGENA km 248,5",02007,38.971722,-1.845278,L-D: 06:00-22:00,1.689,,1.789,1.899,
13620,CEPSA,Albacete,Albacete,ALBACETE,"POLIGONO CAMPOLLANO, 55",02007,39.015444,-1.871361,L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00,1.659,1.789,1.779,1.839,
11087,REPSOL,Albacete,Albacete,ALBACETE,AUTOVIA A-31 KM. 69,02007,39.031528,-1.891361,L-D: 06:00-22:00,1.695,1.825,1.799,1.859,1.119
12801,ENERCOM CARBURANTES,Albacete,Albacete,ALBACETE,"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",02007,39.018,-1.874333,L-D: 24H,1.569,1.709,1.649,1.699,
10129,AVANZA OIL,Albacete,Albacete,ALBACETE,"POLIGONO CAMPOLLANO C/.F, 13",02007,39.012472,-1.889417,L-D: 24H,,,1.599,,
14612,NATURGY ES  GNV ALBACETE,Albacete,Albacete,ALBACETE,"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N",02007,39.029583,-1.888083,L-D: 24H,,,,,
12763,FAST & GAS,Albacete,Albacete,ALBACETE,"AVENIDA 3ª ESQUINA C/ F Nº3, 3",02007,39.009417,-1.885694,L-D: 24H,1.459,,1.569,,
14287,CEPSA,Albacete,Albacete,ALBACETE,"POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",02080,38.969361,-1.823639,L-D: 06:30-22:30,1.669,1.809,1.779,1.839,
14465,AREA LOS LLANOS,Albacete,Albacete,ALBACETE,"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",02080,38.970778,-1.873194,L-D: 07:00-22:00,1.499,,1.589,,
5174,MOEVE,Albacete,Albacete,ALBACETE,"AUTOVIA A-30 KM. 239,4",02080,39.060528,-1.933056,L-D: 24H,1.684,,1.814,1.874,
