fecha,rotulo,producto,media,n
2026-07-11,AVIA,gasoleo_a,1.5619,101
2026-07-11,AVIA,gasoleo_premium,1.651,57
2026-07-11,AVIA,gasolina_95_e5,1.5582,100
2026-07-11,AVIA,gasolina_98_e5,1.7124,52
2026-07-11,AVIA,glp,0.9895,11
2026-07-11,BALLENOIL,gasoleo_a,1.4522,398
2026-07-11,BALLENOIL,gasoleo_premium,1.4706,269
2026-07-11,BALLENOIL,gasolina_95_e5,1.4495,398
2026-07-11,BALLENOIL,glp,1.083,1
2026-07-11,BP,gasoleo_a,1.6178,150
2026-07-11,BP,gasoleo_premium,1.7122,144
2026-07-11,BP,gasolina_95_e5,1.6154,150
2026-07-11,BP,gasolina_98_e5,1.7595,125
2026-07-11,BP,glp,0.9992,5
2026-07-11,CAMPSA,gasoleo_a,1.6378,56
2026-07-11,CAMPSA,gasoleo_premium,1.7204,29
2026-07-11,CAMPSA,gasolina_95_e5,1.5981,56
2026-07-11,CAMPSA,gasolina_98_e5,1.7527,29
2026-07-11,CAMPSA,glp,1.0997,3
2026-07-11,CARREFOUR,gasoleo_a,1.5597,146
2026-07-11,CARREFOUR,gasoleo_premium,1.5992,131
2026-07-11,CARREFOUR,gasolina_95_e5,1.5519,146
2026-07-11,CARREFOUR,gasolina_98_e5,1.7386,116
2026-07-11,CEPSA,gasoleo_a,1.6386,588
2026-07-11,CEPSA,gasoleo_premium,1.738,540
2026-07-11,CEPSA,gasolina_95_e5,1.6143,581
2026-07-11,CEPSA,gasolina_98_e5,1.7673,285
2026-07-11,CEPSA,glp,1.1145,26
2026-07-11,ESCLATOIL,gasoleo_a,1.4358,71
2026-07-11,ESCLATOIL,gasoleo_premium,1.484,32
2026-07-11,ESCLATOIL,gasolina_95_e5,1.4275,71
2026-07-11,GALP,gasoleo_a,1.588,461
2026-07-11,GALP,gasoleo_premium,1.6579,385
2026-07-11,GALP,gasolina_95_e5,1.5783,458
2026-07-11,GALP,gasolina_98_e5,1.7327,224
2026-07-11,GALP,glp,1.0235,41
2026-07-11,MOEVE,gasoleo_a,1.649,583
2026-07-11,MOEVE,gasoleo_premium,1.7491,520
2026-07-11,MOEVE,gasolina_95_e5,1.6222,571
2026-07-11,MOEVE,gasolina_98_e5,1.7749,269
2026-07-11,MOEVE,glp,1.0998,68
2026-07-11,PETRONOR,gasoleo_a,1.6355,162
2026-07-11,PETRONOR,gasoleo_premium,1.723,81
2026-07-11,PETRONOR,gasolina_95_e5,1.6241,162
2026-07-11,PETRONOR,gasolina_98_e5,1.7716,105
2026-07-11,PETRONOR,glp,1.0915,12
2026-07-11,PETROPRIX,gasoleo_a,1.4318,177
2026-07-11,PETROPRIX,gasolina_95_e5,1.4233,177
2026-07-11,PLENERGY,gasoleo_a,1.4435,387
2026-07-11,PLENERGY,gasolina_95_e5,1.4317,387
2026-07-11,Q8,gasoleo_a,1.5425,87
2026-07-11,Q8,gasoleo_premium,1.6058,38
2026-07-11,Q8,gasolina_95_e5,1.5253,86
2026-07-11,Q8,gasolina_98_e5,1.6145,51
2026-07-11,Q8,glp,1.087,2
2026-07-11,REPSOL,gasoleo_a,1.6355,2765
2026-07-11,REPSOL,gasoleo_premium,1.7159,1251
2026-07-11,REPSOL,gasolina_95_e5,1.6209,2757
2026-07-11,REPSOL,gasolina_98_e5,1.7666,2182
2026-07-11,REPSOL,glp,1.0784,407
2026-07-11,SHELL,gasoleo_a,1.5762,343
2026-07-11,SHELL,gasoleo_premium,1.6679,293
2026-07-11,SHELL,gasolina_95_e5,1.5718,343
2026-07-11,SHELL,gasolina_98_e5,1.7289,268
2026-07-11,SHELL,glp,1.0178,60
