fecha,producto,media,mediana,minimo,maximo,n
2026-07-11,gasoleo_a,1.5616,1.589,1.259,1.999,11297
2026-07-11,gasoleo_premium,1.663,1.695,1.299,2.06,5932
2026-07-11,gasolina_95_e5,1.5485,1.579,1.225,1.979,10929
2026-07-11,gasolina_98_e5,1.7291,1.758,1.299,2.299,5522
2026-07-11,glp,1.0459,1.059,0.781,1.226,994
2026-07-12,gasoleo_a,1.561,1.589,1.259,1.999,11297
2026-07-12,gasoleo_premium,1.662,1.695,1.299,2.06,5932
2026-07-12,gasolina_95_e5,1.5483,1.579,1.225,1.979,10929
2026-07-12,gasolina_98_e5,1.729,1.755,1.299,2.299,5522
2026-07-12,glp,1.0457,1.059,0.781,1.226,994
